Ko	gene	name	EC
K08283	COL4A3BP	collagen type IV alpha-3-binding protein
K08285	TRIM18, MID1	midline 1	[EC:2.3.2.27]
K08287	E2.7.12.1	dual-specificity kinase	[EC:2.7.12.1]
K08288	PRKCSH	protein kinase C substrate 80K-H
K08289	purT	phosphoribosylglycinamide formyltransferase 2	[EC:2.1.2.2]
K08291	GRK4_5_6	G protein-coupled receptor kinase	[EC:2.7.11.16]
K08292	EEF2K	elongation factor 2 kinase	[EC:2.7.11.20]
K08295	abmG	2-aminobenzoate-CoA ligase	[EC:6.2.1.32]
K08296	sixA	phosphohistidine phosphatase	[EC:3.1.3.-]
K08299	caiD	crotonobetainyl-CoA hydratase	[EC:4.2.1.149]
K08300	rne	ribonuclease E	[EC:3.1.26.12]
K08301	rng, cafA	ribonuclease G	[EC:3.1.26.-]
K08303	K08303	putative protease	[EC:3.4.-.-]
K08304	mltA	membrane-bound lytic murein transglycosylase A
K08305	mltB	membrane-bound lytic murein transglycosylase B
K08307	mltD, dniR	membrane-bound lytic murein transglycosylase D
K08309	slt	soluble lytic murein transglycosylase	[EC:3.2.1.-]
K08310	nudB, ntpA	dihydroneopterin triphosphate diphosphatase	[EC:3.6.1.67]
K08311	nudH	putative (di)nucleoside polyphosphate hydrolase	[EC:3.6.1.-]
K08312	nudE	ADP-ribose diphosphatase	[EC:3.6.1.-]
K08313	fsaA, mipB	fructose-6-phosphate aldolase 1	[EC:4.1.2.-]
K08315	hycI	hydrogenase 3 maturation protease	[EC:3.4.23.51]
K08316	rsmD	16S rRNA (guanine966-N2)-methyltransferase	[EC:2.1.1.171]
K08318	yihU	4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase	[EC:1.1.1.61 1.1.1.373]
K08321	lsrF	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase	[EC:2.3.1.245]
K08323	rspA, manD	mannonate dehydratase	[EC:4.2.1.8]
K08325	yqhD	NADP-dependent alcohol dehydrogenase	[EC:1.1.-.-]
K08327	PDC	phosducin
K08328	GUCA1	guanylate cyclase activator 1
K08331	ATG13	autophagy-related protein 13
K08333	PIK3R4, VPS15	phosphoinositide-3-kinase, regulatory subunit 4	[EC:2.7.11.1]
K08334	BECN1, VPS30, ATG6	beclin 1
K08337	ATG7	ubiquitin-like modifier-activating enzyme ATG7
K08339	ATG5	autophagy-related protein 5
K08341	GABARAP, ATG8, LC3	GABA(A) receptor-associated protein
K08342	ATG4	cysteine protease ATG4	[EC:3.4.22.-]
K08343	ATG3	ubiquitin-like-conjugating enzyme ATG3
K08344	scsB	suppressor for copper-sensitivity B
K08351	bisC	biotin/methionine sulfoxide reductase	[EC:1.-.-.-]
K08352	phsA, psrA	thiosulfate reductase / polysulfide reductase chain A
K08355	aoxA	arsenite oxidase small subunit	[EC:1.20.2.1 1.20.9.1]
K08356	aoxB	arsenite oxidase large subunit	[EC:1.20.2.1 1.20.9.1]
K08360	CYB561	cytochrome b-561	[EC:1.16.5.1]
K08363	merT	mercuric ion transport protein
K08364	merP	periplasmic mercuric ion binding protein
K08365	merR	MerR family transcriptional regulator, mercuric resistance operon regulatory protein
K08369	ydjE	MFS transporter, putative metabolite:H+ symporter
K08371	CYB561D2	cytochrome b-561 domain containing protein 2
K08372	pepD	putative serine protease PepD	[EC:3.4.21.-]
K08376	NPSR1, GPR154	neuropeptide S receptor 1
K08384	spoVD	stage V sporulation protein D (sporulation-specific penicillin-binding protein)
K08399	LGR6	leucine-rich repeat-containing G protein-coupled receptor 6
K08411	GPR26	G protein-coupled receptor 26
K08412	GPR39	G protein-coupled receptor 39
K08414	GPR61	G protein-coupled receptor 61
K08428	GPR139	G protein-coupled receptor 139
K08451	GPR64	G protein-coupled receptor 64
K08462	GPR125	G protein-coupled receptor 125
K08465	GPR133	G protein-coupled receptor 133
K08469	GPR158	G protein-coupled receptor 158
K08479	sasA	two-component system, OmpR family, clock-associated histidine kinase SasA	[EC:2.7.13.3]
K08480	kaiA	circadian clock protein KaiA
K08481	kaiB	circadian clock protein KaiB
K08482	kaiC	circadian clock protein KaiC
K08483	PTS-EI.PTSI, ptsI	phosphotransferase system, enzyme I, PtsI	[EC:2.7.3.9]
K08484	PTS-EI.PTSP, ptsP	phosphotransferase system, enzyme I, PtsP	[EC:2.7.3.9]
K08486	STX1B_2_3	syntaxin 1B/2/3
K08489	STX16	syntaxin 16
K08490	STX5	syntaxin 5
K08493	VTI1	vesicle transport through interaction with t-SNAREs 1
K08495	GOSR1, GOS1	golgi SNAP receptor complex member 1
K08496	GOSR2, BOS1	golgi SNAP receptor complex member 2
K08498	STX6	syntaxin 6
K08504	BET1	blocked early in transport 1
K08508	SNAP23	synaptosomal-associated protein 23
K08513	VAMP4	vesicle-associated membrane protein 4
K08515	VAMP7	vesicle-associated membrane protein 7
K08516	YKT6	synaptobrevin homolog YKT6
K08517	SEC22	vesicle transport protein SEC22
K08518	STXBP5, SRO7_77	syntaxin-binding protein 5
K08528	RARB, NR1B2	retinoic acid receptor beta
K08531	NR1D2	nuclear receptor subfamily 1 group D member 2
K08532	NR1F1, RORA	RAR-related orphan receptor alpha
K08533	NR1F2, RORB	RAR-related orphan receptor beta
K08544	NR2C2, TR4	testicular receptor 4
K08545	NR2E1, TLX, tll	nuclear receptor subfamily 2 group E member 1
K08546	NR2E3, PNR	nuclear receptor subfamily 2 group E member 3
K08548	NR2F2, TFCOUP2	COUP transcription factor 2
K08558	NR4A2, NURR1	nuclear receptor subfamily 4 group A member 2
K08561	NR6A1, GCNF	germ cell nuclear factor
K08562	NR0B1, DAX1	nuclear receptor subfamily 0 group B member 1
K08568	CTSZ	cathepsin X	[EC:3.4.18.1]
K08573	CAPN3	calpain-3	[EC:3.4.22.54]
K08576	CAPN7	calpain-7	[EC:3.4.22.-]
K08579	CAPN10	calpain-10	[EC:3.4.22.-]
K08582	CAPN15	calpain-15	[EC:3.4.22.-]
K08585	CAPNN	calpain, invertebrate	[EC:3.4.22.-]
K08588	BAP1, UCHL2	ubiquitin carboxyl-terminal hydrolase BAP1	[EC:3.4.19.12]
K08591	plsY	glycerol-3-phosphate acyltransferase PlsY	[EC:2.3.1.15]
K08592	SENP1	sentrin-specific protease 1	[EC:3.4.22.68]
K08595	SENP6	sentrin-specific protease 6	[EC:3.4.22.68]
K08596	SENP7	sentrin-specific protease 7	[EC:3.4.22.68]
K08597	SENP8, NEDP1, DEN1	sentrin-specific protease 8	[EC:3.4.22.68]
K08601	CYLD, USLP2	ubiquitin thioesterase	[EC:3.4.19.12]
K08602	pepF, pepB	oligoendopeptidase F	[EC:3.4.24.-]
K08606	MEP1B	meprin B	[EC:3.4.24.63]
K08618	ADAMTS2	a disintegrin and metalloproteinase with thrombospondin motifs 2	[EC:3.4.24.14]
K08619	ADAMTS3	a disintegrin and metalloproteinase with thrombospondin motifs 3	[EC:3.4.24.-]
K08620	ADAMTS5	a disintegrin and metalloproteinase with thrombospondin motifs 5	[EC:3.4.24.-]
K08621	ADAMTS6	a disintegrin and metalloproteinase with thrombospondin motifs 6	[EC:3.4.24.-]
K08622	ADAMTS7	a disintegrin and metalloproteinase with thrombospondin motifs 7	[EC:3.4.24.-]
K08623	ADAMTS8	a disintegrin and metalloproteinase with thrombospondin motifs 8	[EC:3.4.24.-]
K08624	ADAMTS9	a disintegrin and metalloproteinase with thrombospondin motifs 9	[EC:3.4.24.-]
K08626	ADAMTS12	a disintegrin and metalloproteinase with thrombospondin motifs 12	[EC:3.4.24.-]
K08633	ADAMTS19	a disintegrin and metalloproteinase with thrombospondin motifs 19	[EC:3.4.24.-]
K08635	MMEL1	membrane metallo-endopeptidase-like 1
K08636	PHEX	phosphate-regulating neutral endopeptidase	[EC:3.4.24.-]
K08641	vanX	D-alanyl-D-alanine dipeptidase	[EC:3.4.13.22]
K08646	MEP	peptidyl-Lys metalloendopeptidase	[EC:3.4.24.20]
K08647	PAPPA2	pappalysin-2	[EC:3.4.24.-]
K08648	HABP2	hyaluronan binding protein 2	[EC:3.4.21.-]
K08653	MBTPS1	membrane-bound transcription factor site-1 protease	[EC:3.4.21.112]
K08654	PCSK5	proprotein convertase subtilisin/kexin type 5	[EC:3.4.21.-]
K08655	DPP8	dipeptidyl-peptidase 8	[EC:3.4.14.5]
K08656	DPP9	dipeptidyl-peptidase 9	[EC:3.4.14.5]
K08657	TASP1	taspase, threonine aspartase, 1	[EC:3.4.25.-]
K08658	RCE1, FACE2	prenyl protein peptidase	[EC:3.4.22.-]
K08660	CNDP2	cytosolic nonspecific dipeptidase	[EC:3.4.13.18]
K08669	HTRA2, PRSS25	HtrA serine peptidase 2	[EC:3.4.21.108]
K08672	PCSK6	proprotein convertase subtilisin/kexin type 6	[EC:3.4.21.-]
K08673	PCSK7	proprotein convertase subtilisin/kexin type 7	[EC:3.4.21.-]
K08675	PRSS15, PIM1	Lon-like ATP-dependent protease	[EC:3.4.21.-]
K08676	tri	tricorn protease	[EC:3.4.21.-]
K08678	UXS1, uxs	UDP-glucuronate decarboxylase	[EC:4.1.1.35]
K08679	E5.1.3.6	UDP-glucuronate 4-epimerase	[EC:5.1.3.6]
K08680	menH	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	[EC:4.2.99.20]
K08681	pdxT, pdx2	5'-phosphate synthase pdxT subunit	[EC:4.3.3.6]
K08683	HSD17B10	3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase	[EC:1.1.1.35 1.1.1.178]
K08688	E3.5.3.3	creatinase	[EC:3.5.3.3]
K08691	mcl	malyl-CoA/(S)-citramalyl-CoA lyase	[EC:4.1.3.24 4.1.3.25]
K08692	mtkB	malate-CoA ligase subunit alpha	[EC:6.2.1.9]
K08696	ccmK	carbon dioxide concentrating mechanism protein CcmK
K08697	ccmL	carbon dioxide concentrating mechanism protein CcmL
K08698	ccmM	carbon dioxide concentrating mechanism protein CcmM
K08699	ccmN	carbon dioxide concentrating mechanism protein CcmN
K08700	ccmO	carbon dioxide concentrating mechanism protein CcmO
K08705	NR5A3, ftz-f1	nuclear receptor subfamily 5 group A member 3
K08714	VGSC	voltage-gated sodium channel
K08715	IRPC	inward rectifier potassium channel
K08716	SLC14A	solute carrier family 14 (urea transporter)
K08717	utp	urea transporter
K08720	ompU	outer membrane protein OmpU
K08722	yfbR	5'-deoxynucleotidase	[EC:3.1.3.89]
K08723	yjjG	5'-nucleotidase	[EC:3.1.3.5]
K08724	pbpB	penicillin-binding protein 2B
K08729	PTDSS1	phosphatidylserine synthase 1	[EC:2.7.8.-]
K08730	PTDSS2	phosphatidylserine synthase 2	[EC:2.7.8.29]
K08731	BIRC5	baculoviral IAP repeat-containing protein 5
K08734	MLH1	DNA mismatch repair protein MLH1
K08735	MSH2	DNA mismatch repair protein MSH2
K08736	MSH3	DNA mismatch repair protein MSH3
K08737	MSH6	DNA mismatch repair protein MSH6
K08738	CYC	cytochrome c
K08740	MSH4	DNA mismatch repair protein MSH4
K08741	MSH5	DNA mismatch repair protein MSH5
K08743	ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase family member 6	[EC:3.1.4.-]
K08744	CRLS	cardiolipin synthase (CMP-forming)	[EC:2.7.8.41]
K08745	SLC27A1_4, FATP1, FATP4	solute carrier family 27 (fatty acid transporter), member 1/4	[EC:6.2.1.-]
K08749	SLC27A6, FATP6	solute carrier family 27 (fatty acid transporter), member 6
K08755	FABP6	fatty acid-binding protein 6, ileal (gastrotropin)
K08762	DBI, ACBP	diazepam-binding inhibitor (GABA receptor modulator, acyl-CoA-binding protein)
K08764	SCP2, SCPX	sterol carrier protein 2	[EC:2.3.1.176]
K08765	CPT1A	carnitine O-palmitoyltransferase 1, liver isoform	[EC:2.3.1.21]
K08766	CPT2	carnitine O-palmitoyltransferase 2	[EC:2.3.1.21]
K08770	UBC	ubiquitin C
K08773	RALBP1	RalA-binding protein 1
K08775	BRCA2, FANCD1	breast cancer 2 susceptibility protein
K08776	NPEPPS	puromycin-sensitive aminopeptidase	[EC:3.4.11.-]
K08779	CPA1	carboxypeptidase A1	[EC:3.4.17.1]
K08784	HTRA1, PRSS11	HtrA serine peptidase 1	[EC:3.4.21.-]
K08785	HTRA3	HtrA serine peptidase 3	[EC:3.4.21.-]
K08789	MAST	microtubule-associated serine/threonine kinase	[EC:2.7.11.1]
K08790	STK38, NDR	serine/threonine kinase 38	[EC:2.7.11.1]
K08791	LATS1_2, Wts	serine/threonine-protein kinase LATS1/2	[EC:2.7.11.1]
K08793	STK32, YANK	serine/threonine kinase 32	[EC:2.7.11.1]
K08794	CAMK1	calcium/calmodulin-dependent protein kinase I	[EC:2.7.11.17]
K08796	BRSK	BR serine/threonine kinase	[EC:2.7.11.1]
K08798	MARK	MAP/microtubule affinity-regulating kinase	[EC:2.7.11.1]
K08799	MELK	maternal embryonic leucine zipper kinase	[EC:2.7.11.1]
K08801	PASK	PAS domain containing serine/threonine kinase	[EC:2.7.11.1]
K08802	SNRK	SNF related kinase	[EC:2.7.11.1]
K08803	DAPK	death-associated protein kinase	[EC:2.7.11.1]
K08804	STK17	serine/threonine kinase 17	[EC:2.7.11.1]
K08805	DCLK1_2	doublecortin-like kinase 1/2	[EC:2.7.11.1]
K08807	PIM3	proto-oncogene serine/threonine-protein kinase Pim-3	[EC:2.7.11.1]
K08810	TRIO	triple functional domain protein	[EC:2.7.11.1]
K08811	TSSK, STK22	testis-specific serine kinase	[EC:2.7.11.1]
K08814	TRIB1_2	tribbles homolog 1/2
K08815	TTBK	tau tubulin kinase	[EC:2.7.11.26]
K08816	VRK	vaccinia related kinase	[EC:2.7.11.1]
K08817	CCRK	cell cycle related kinase	[EC:2.7.11.22]
K08818	CDC2L	cell division cycle 2-like	[EC:2.7.11.22]
K08819	CDK12_13	cyclin-dependent kinase 12/13	[EC:2.7.11.22 2.7.11.23]
K08820	CDK16, PCTK1	cyclin-dependent kinase 16	[EC:2.7.11.22]
K08821	CDK14, PFTK1	cyclin-dependent kinase 14	[EC:2.7.11.22]
K08823	CLK	CDC-like kinase	[EC:2.7.12.1]
K08824	CDKL	cyclin-dependent kinase-like	[EC:2.7.11.22]
K08825	DYRK1	dual specificity tyrosine-phosphorylation-regulated kinase 1	[EC:2.7.12.1]
K08826	HIPK	homeodomain interacting protein kinase	[EC:2.7.11.1]
K08827	PRPF4B	serine/threonine-protein kinase PRP4	[EC:2.7.11.1]
K08828	ICK	intestinal cell (MAK-like) kinase	[EC:2.7.11.22]
K08829	MAK	male germ cell-associated kinase	[EC:2.7.11.22]
K08830	RAGE, MOK	renal tumor antigen	[EC:2.7.11.22]
K08832	SRPK3, STK23	serine/threonine-protein kinase SRPK3	[EC:2.7.11.1]
K08833	MAP4K5, KHS1	mitogen-activated protein kinase kinase kinase kinase 5	[EC:2.7.11.1]
K08834	MYO3, DFNB30	myosin III	[EC:2.7.11.1]
K08835	OXSR1, STK39	serine/threonine-protein kinase OSR1/STK39	[EC:2.7.11.1]
K08836	SLK	STE20-like kinase	[EC:2.7.11.1]
K08837	STK10, LOK	serine/threonine kinase 10	[EC:2.7.11.1]
K08838	STK24_25_MST4	serine/threonine-protein kinase 24/25/MST4	[EC:2.7.11.1]
K08840	TNIK	TRAF2 and NCK interacting kinase	[EC:2.7.11.1]
K08842	TESK2	testis-specific kinase 2	[EC:2.7.12.1]
K08843	LRRK1	leucine-rich repeat kinase 1	[EC:2.7.11.1]
K08845	ARAF, ARAF1	A-Raf proto-oncogene serine/threonine-protein kinase	[EC:2.7.11.1]
K08850	AURKX	aurora kinase, other	[EC:2.7.11.1]
K08851	TP53RK, PRPK, BUD32	TP53 regulating kinase and related kinases	[EC:2.7.11.1]
K08852	ERN1	serine/threonine-protein kinase/endoribonuclease IRE1	[EC:2.7.11.1 3.1.26.-]
K08853	AAK	AP2-associated kinase	[EC:2.7.11.1]
K08855	GAK	cyclin G-associated kinase	[EC:2.7.11.1]
K08856	STK16	serine/threonine kinase 16	[EC:2.7.11.1]
K08857	NEK1_4_5	NIMA (never in mitosis gene a)-related kinase 1/4/5	[EC:2.7.11.1]
K08858	SBK	serine/threonine-protein kinase SBK	[EC:2.7.11.1]
K08860	EIF2AK3	eukaryotic translation initiation factor 2-alpha kinase 3	[EC:2.7.11.1]
K08861	PLK2	polo-like kinase 2	[EC:2.7.11.21]
K08864	TLK	tousled-like kinase	[EC:2.7.11.1]
K08865	PBK	PDZ-binding kinase	[EC:2.7.12.2]
K08866	TTK, MPS1	serine/threonine-protein kinase TTK/MPS1	[EC:2.7.12.1]
K08867	WNK, PRKWNK	WNK lysine deficient protein kinase	[EC:2.7.11.1]
K08869	ADCK, ABC1	aarF domain-containing kinase
K08870	TWF	twinfilin
K08871	BRD2	bromodomain-containing protein 2
K08872	RIOK3, SUDD	RIO kinase 3	[EC:2.7.11.1]
K08873	SMG1	serine/threonine-protein kinase SMG1	[EC:2.7.11.1]
K08874	TRRAP	transformation/transcription domain-associated protein
K08875	NRBP	nuclear receptor-binding protein
K08876	SCYL1	SCY1-like protein 1
K08878	BCR1, BCR	breakpoint cluster region protein	[EC:2.7.11.1]
K08881	TRIM24, TIF1A	tripartite motif-containing protein 24	[EC:2.3.2.27]
K08883	TRIM33, TIF1G	tripartite motif-containing protein 33	[EC:2.3.2.27]
K08886	TNK2, ACK1	activated CDC42 kinase 1	[EC:2.7.10.2 2.7.11.1]
K08887	ABL2	abelson tyrosine-protein kinase 2	[EC:2.7.10.2]
K08889	FER, TYK3	tyrosine-protein kinase Fer	[EC:2.7.10.2]
K08892	FRK, PTK5	fyn-related kinase	[EC:2.7.10.2]
K08900	BCS1	mitochondrial chaperone BCS1
K08902	psb27	photosystem II Psb27 protein
K08903	psb28	photosystem II 13kDa protein
K08904	psb28-2	photosystem II Psb28-2 protein
K08906	petJ	cytochrome c6
K08907	LHCA1	light-harvesting complex I chlorophyll a/b binding protein 1
K08908	LHCA2	light-harvesting complex I chlorophyll a/b binding protein 2
K08926	pufA	light-harvesting complex 1 alpha chain
K08927	pufB	light-harvesting complex 1 beta chain
K08928	pufL	photosynthetic reaction center L subunit
K08929	pufM	photosynthetic reaction center M subunit
K08930	pucA	light-harvesting protein B-800-850 alpha chain
K08939	pucB	light-harvesting protein B-800-850 beta chain
K08955	YME1	ATP-dependent metalloprotease	[EC:3.4.24.-]
K08956	AFG3	AFG3 family protein	[EC:3.4.24.-]
K08957	CSNK1A	casein kinase 1, alpha	[EC:2.7.11.1]
K08958	CSNK1G	casein kinase 1, gamma	[EC:2.7.11.1]
K08959	CSNK1D	casein kinase 1, delta	[EC:2.7.11.1]
K08960	CSNK1E	casein kinase 1, epsilon	[EC:2.7.11.1]
K08963	mtnA	methylthioribose-1-phosphate isomerase	[EC:5.3.1.23]
K08964	mtnB	methylthioribulose-1-phosphate dehydratase	[EC:4.2.1.109]
K08965	mtnW	2,3-diketo-5-methylthiopentyl-1-phosphate enolase	[EC:5.3.2.5]
K08966	mtnX	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	[EC:3.1.3.87]
K08967	mtnD, mtnZ, ADI1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	[EC:1.13.11.53 1.13.11.54]
K08971	K08971	putative membrane protein
K08972	K08972	putative membrane protein
K08973	K08973	putative membrane protein
K08974	K08974	putative membrane protein
K08975	K08975	putative membrane protein
K08976	K08976	putative membrane protein
K08978	TC.BAT1	bacterial/archaeal transporter family protein
K08979	K08979	putative membrane protein
K08981	K08981	putative membrane protein
K08982	K08982	putative membrane protein
K08983	K08983	putative membrane protein
K08984	yjdF	putative membrane protein
K08987	K08987	putative membrane protein
K08988	K08988	putative membrane protein
K08989	K08989	putative membrane protein
K08990	ycjF	putative membrane protein
K08992	lapA	lipopolysaccharide assembly protein A
K08994	yneE	putative membrane protein
K08998	K08998	uncharacterized protein
K08999	K08999	uncharacterized protein
K09000	cmr4	CRISPR-associated protein Cmr4
K09001	anmK	anhydro-N-acetylmuramic acid kinase	[EC:2.7.1.170]
K09002	csm3	CRISPR-associated protein Csm3
K09003	K09003	uncharacterized protein
K09004	K09004	uncharacterized protein
K09005	K09005	uncharacterized protein
K09006	K09006	uncharacterized protein
K09007	GCH4, folE	GTP cyclohydrolase I	[EC:3.5.4.16]
K09008	NDUFAF3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3
K09009	K09009	uncharacterized protein
K09011	cimA	D-citramalate synthase	[EC:2.3.1.182]
K09012	sufR	DeoR family transcriptional regulator, suf operon transcriptional repressor
K09013	sufC	Fe-S cluster assembly ATP-binding protein
K09014	sufB	Fe-S cluster assembly protein SufB
K09015	sufD	Fe-S cluster assembly protein SufD
K09018	rutA	pyrimidine oxygenase	[EC:1.14.99.46]
K09019	rutE	3-hydroxypropanoate dehydrogenase	[EC:1.1.1.-]
K09022	ridA, tdcF	2-iminobutanoate/2-iminopropanoate deaminase	[EC:3.5.99.10]
K09023	rutD	aminoacrylate hydrolase	[EC:3.5.1.-]
K09024	rutF	flavin reductase	[EC:1.5.1.-]
K09027	XBP1	X box-binding protein 1
K09030	FOSL2	fos-like antigen 2
K09035	CMAF, MAF	transcription factor Maf
K09036	MAFB	transcription factor MAFB
K09037	MAFF_G_K	transcription factor MAFF/G/K
K09040	NFE2L1_3	nuclear factor erythroid 2-related factor 1/3
K09047	CREB5, CREBPA	cyclic AMP-responsive element-binding protein 5
K09048	CREB3	cyclic AMP-responsive element-binding protein 3
K09054	ATF6A	cyclic AMP-dependent transcription factor ATF-6 alpha
K09055	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha
K09057	HLF	hepatic leukemia factor
K09065	argF	N-acetylornithine carbamoyltransferase	[EC:2.1.3.9]
K09067	ASCL	achaete-scute complex protein
K09068	TAL	T-cell acute lymphocytic leukemia protein
K09069	TWIST	twist
K09073	PTF1A	pancreas-specific transcription factor 1a
K09075	NHLH, HEN, NSCL	nescient helix-loop-helix protein
K09083	ATOH1_7	atonal protein 1/7
K09086	BHLHB4_5, BETA	class B basic helix-loop-helix protein 4/5
K09090	HESN	hairy and enhancer of split, invertebrate
K09097	ARNT	aryl hydrocarbon receptor nuclear translocator
K09098	NPAS1_3	neuronal PAS domain-containing protein 1/3
K09101	NCOA1, SRC1, KAT13A	nuclear receptor coactivator 1	[EC:2.3.1.48]
K09103	EBF, COE	early B-cell factor
K09106	USF	upstream stimulatory factor
K09108	TFAP4	transcription factor AP-4
K09113	MLX	MAX-like protein X
K09114	MXD, MAD	MAX dimerization protein
K09116	K09116	uncharacterized protein
K09117	K09117	uncharacterized protein
K09118	K09118	uncharacterized protein
K09119	cgi121	KEOPS complex subunit Cgi121
K09120	K09120	uncharacterized protein
K09121	K09121	uncharacterized protein
K09122	K09122	uncharacterized protein
K09123	K09123	uncharacterized protein
K09124	K09124	uncharacterized protein
K09125	K09125	uncharacterized protein
K09126	K09126	uncharacterized protein
K09127	cmr3	CRISPR-associated protein Cmr3
K09128	K09128	uncharacterized protein
K09129	K09129	uncharacterized protein
K09131	K09131	uncharacterized protein
K09133	K09133	uncharacterized protein
K09134	flA	adenosyl-fluoride synthase	[EC:2.5.1.63]
K09136	ycaO	ribosomal protein S12 methylthiotransferase accessory factor
K09137	K09137	uncharacterized protein
K09138	K09138	uncharacterized protein
K09139	K09139	uncharacterized protein
K09140	TSR3	pre-rRNA-processing protein TSR3
K09141	K09141	uncharacterized protein
K09142	K09142	uncharacterized protein
K09143	K09143	uncharacterized protein
K09148	K09148	uncharacterized protein
K09152	K09152	uncharacterized protein
K09154	K09154	uncharacterized protein
K09155	K09155	uncharacterized protein
K09157	K09157	uncharacterized protein
K09158	K09158	uncharacterized protein
K09159	cptB	antitoxin CptB
K09160	K09160	uncharacterized protein
K09162	cld	chlorite dismutase	[EC:1.13.11.49]
K09163	K09163	uncharacterized protein
K09164	K09164	uncharacterized protein
K09165	K09165	uncharacterized protein
K09166	K09166	uncharacterized protein
K09167	K09167	uncharacterized protein
K09173	RFX1_2_3	regulatory factor X 1/2/3
K09174	RFX4	regulatory factor X 4
K09176	TFAP2A_B	transcription factor AP-2 alpha/beta
K09177	TFAP2C	transcription factor AP-2 gamma
K09178	TFAP2D	transcription factor AP-2 delta
K09179	TFAP2E	transcription factor AP-2 epsilon
K09181	yfiQ	acetyltransferase
K09183	GATA4	GATA-binding protein 4
K09185	NR6AN	nuclear receptor subfamily 6 group A
K09186	MLL1	histone-lysine N-methyltransferase MLL1	[EC:2.1.1.43]
K09187	MLL2, ALR	histone-lysine N-methyltransferase MLL2	[EC:2.1.1.43]
K09188	MLL3	histone-lysine N-methyltransferase MLL3	[EC:2.1.1.43]
K09189	MLL5	histone-lysine N-methyltransferase MLL5	[EC:2.1.1.43]
K09190	K09190	uncharacterized protein
K09191	GTF3A	general transcription factor IIIA
K09193	SP3	transcription factor Sp3
K09194	SP4	transcription factor Sp4
K09201	YY	transcription factor YY
K09204	KLF1	krueppel-like factor 1
K09205	KLF8_12	krueppel-like factor 8/12
K09207	KLF6_7	krueppel-like factor 6/7
K09208	KLF9S, BTEB	krueppel-like factor 9/13/14/16
K09210	KLF15	krueppel-like factor 15
K09213	HB	hunchback
K09215	OSR, ODD	odd-skipped
K09219	SCRT	scratch
K09222	REST	RE1-silencing transcription factor
K09223	GFI1	growth factor independent 1
K09224	ZIC1	zinc finger protein ZIC 1
K09228	KRAB	KRAB domain-containing zinc finger protein
K09231	KR	krueppel-like family, other
K09234	WT1	Wilms tumor protein 1
K09236	TSHZ	teashirt
K09239	HIVEP	human immunodeficiency virus type I enhancer-binding protein
K09250	CNBP	cellular nucleic acid-binding protein
K09251	patA	putrescine aminotransferase	[EC:2.6.1.82]
K09254	REL	c-Rel proto-oncogene protein
K09256	NFKBIL1	NF-kappa-B inhibitor-like protein 1
K09257	NFKBIL2	NF-kappa-B inhibitor-like protein 2
K09258	BCL3	B-cell CLL/lymphoma protein 3
K09260	MEF2A	MADS-box transcription enhancer factor 2A
K09267	SOX1S	transcription factor SOX1/3/14/21 (SOX group B)
K09268	SOX4_11_12	transcription factor SOX4/11/12 (SOX group C)
K09269	SOX5_6_13	transcription factor SOX5/6/13 (SOX group D)
K09270	SOX7S	transcription factor SOX7/8/10/18 (SOX group E/F)
K09272	SSRP1	structure-specific recognition protein 1
K09273	UBTF	upstream-binding transcription factor
K09275	TFCP2	transcription factor CP2 and related proteins
K09276	YBX1, NSEP1	Y-box-binding protein 1
K09284	AP2	AP2-like factor, euAP2 lineage
K09288	CCDC6, PTC	coiled-coil domain-containing protein 6
K09291	TPR, MLP1, MLP2	nucleoprotein TPR
K09294	HOX_9	homeobox protein HoxA/B/C/D9
K09299	ZEB1_2	zinc finger homeobox protein 1/2
K09302	HOX_2	homeobox protein HoxA/B2
K09304	HOX_4	homeobox protein HoxA/B/C/D4
K09308	HOX_8	homeobox protein HoxB/C/D8
K09309	NKX1	homeobox protein Nkx-1
K09311	ANTP	Antp family, other
K09312	CDX	homeobox protein CDX
K09313	CUTL	homeobox protein cut-like
K09315	DLX3	homeobox protein DLX3
K09317	EMX	homeobox protein EMX
K09319	EN	homeobox protein engrailed
K09328	UNC4	homeobox protein Unc-4
K09331	SHOX	short stature homeobox protein
K09336	VSX2, CHX10	visual system homeobox protein 2
K09338	HD-ZIP	homeobox-leucine zipper protein
K09339	HLX1	homeobox protein HLX1
K09341	MSX	homeobox protein MSX
K09342	NKX2-1, TITF1	homeobox protein Nkx-2.1
K09348	NKX3-1	homeobox protein Nkx-3.1
K09349	NKX5, HMX	homeobox protein Nkx-5
K09353	LBX	homeobox protein LBX
K09355	PBX1	pre-B-cell leukemia transcription factor 1
K09364	POU2F, OTF	POU domain transcription factor, class 2
K09365	POU3F, OTF	POU domain transcription factor, class 3
